700,16,37.962498
1930,75,-64.195858
3160,220,21.120803
4390,336,-7.577237
5620,497,-46.479468
6850,774,136.521831
8080,1035,143.102252
9310,1361,369.474336
10540,1730,337.680306
11770,1814,375.178264
13000,2639,522.199693
700,29,37.962498
1930,85,-64.195858
3160,245,21.120803
4390,403,-7.577237
5620,563,-46.479468
6850,856,136.521831
8080,1126,143.102252
9310,1494,369.474336
10540,1733,337.680306
11770,2203,375.178264
13000,2729,522.199693
700,13,37.962498
1930,80,-64.195858
3160,303,21.120803
4390,411,-7.577237
5620,530,-46.479468
6850,725,136.521831
8080,961,143.102252
9310,1371,369.474336
10540,1734,337.680306
11770,1836,375.178264
13000,2568,522.199693
700,16,37.962498
1930,80,-64.195858
3160,255,21.120803
4390,359,-7.577237
5620,539,-46.479468
6850,794,136.521831
8080,1312,143.102252
9310,1506,369.474336
10540,1745,337.680306
11770,2308,375.178264
13000,2838,522.199693
700,11,37.962498
1930,92,-64.195858
3160,245,21.120803
4390,384,-7.577237
5620,551,-46.479468
6850,777,136.521831
8080,950,143.102252
9310,1354,369.474336
10540,1546,337.680306
11770,2208,375.178264
13000,2624,522.199693
700,24,37.962498
1930,79,-64.195858
3160,276,21.120803
4390,347,-7.577237
5620,529,-46.479468
6850,758,136.521831
8080,1045,143.102252
9310,1394,369.474336
10540,1734,337.680306
11770,2176,375.178264
13000,2629,522.199693
700,15,37.962498
1930,77,-64.195858
3160,225,21.120803
4390,364,-7.577237
5620,543,-46.479468
6850,708,136.521831
8080,1056,143.102252
9310,1430,369.474336
10540,1925,337.680306
11770,2008,375.178264
13000,2273,522.199693
700,10,37.962498
1930,94,-64.195858
3160,212,21.120803
4390,349,-7.577237
5620,523,-46.479468
6850,759,136.521831
8080,1029,143.102252
9310,1342,369.474336
10540,1701,337.680306
11770,2125,375.178264
13000,2611,522.199693
700,18,37.962498
1930,63,-64.195858
3160,263,21.120803
4390,332,-7.577237
5620,530,-46.479468
6850,766,136.521831
8080,1009,143.102252
9310,1379,369.474336
10540,1726,337.680306
11770,2150,375.178264
13000,2641,522.199693
700,11,37.962498
1930,44,-64.195858
3160,217,21.120803
4390,375,-7.577237
5620,498,-46.479468
6850,835,136.521831
8080,1165,143.102252
9310,1452,369.474336
10540,1871,337.680306
11770,1827,375.178264
13000,2625,522.199693
