700,11,37.962498
1930,66,-64.195858
3160,164,21.120803
4390,266,-7.577237
5620,394,-46.479468
6850,759,136.521831
8080,1037,143.102252
9310,1448,369.474336
10540,1861,337.680306
11770,2277,375.178264
13000,2320,522.199693
700,13,37.962498
1930,56,-64.195858
3160,138,21.120803
4390,262,-7.577237
5620,516,-46.479468
6850,731,136.521831
8080,1068,143.102252
9310,1387,369.474336
10540,1663,337.680306
11770,1747,375.178264
13000,2697,522.199693
700,9,37.962498
1930,70,-64.195858
3160,137,21.120803
4390,334,-7.577237
5620,523,-46.479468
6850,673,136.521831
8080,841,143.102252
9310,1362,369.474336
10540,1750,337.680306
11770,2175,375.178264
13000,2641,522.199693
700,10,37.962498
1930,59,-64.195858
3160,144,21.120803
4390,279,-7.577237
5620,419,-46.479468
6850,609,136.521831
8080,1032,143.102252
9310,1225,369.474336
10540,1884,337.680306
11770,1877,375.178264
13000,2726,522.199693
700,14,37.962498
1930,73,-64.195858
3160,191,21.120803
4390,349,-7.577237
5620,574,-46.479468
6850,712,136.521831
8080,832,143.102252
9310,1137,369.474336
10540,1766,337.680306
11770,1779,375.178264
13000,2153,522.199693
700,11,37.962498
1930,72,-64.195858
3160,170,21.120803
4390,252,-7.577237
5620,409,-46.479468
6850,757,136.521831
8080,1064,143.102252
9310,1372,369.474336
10540,1752,337.680306
11770,2204,375.178264
13000,2503,522.199693
700,12,37.962498
1930,69,-64.195858
3160,169,21.120803
4390,332,-7.577237
5620,518,-46.479468
6850,807,136.521831
8080,1104,143.102252
9310,1465,369.474336
10540,1884,337.680306
11770,2198,375.178264
13000,2209,522.199693
700,14,37.962498
1930,77,-64.195858
3160,187,21.120803
4390,344,-7.577237
5620,530,-46.479468
6850,762,136.521831
8080,1082,143.102252
9310,1398,369.474336
10540,1777,337.680306
11770,2194,375.178264
13000,2689,522.199693
700,12,37.962498
1930,81,-64.195858
3160,199,21.120803
4390,331,-7.577237
5620,536,-46.479468
6850,748,136.521831
8080,1049,143.102252
9310,1121,369.474336
10540,1779,337.680306
11770,2044,375.178264
13000,2767,522.199693
700,10,37.962498
1930,79,-64.195858
3160,147,21.120803
4390,298,-7.577237
5620,453,-46.479468
6850,645,136.521831
8080,867,143.102252
9310,1149,369.474336
10540,1408,337.680306
11770,1775,375.178264
13000,2324,522.199693
